competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,company,color
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,Jelly Belly,orange
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,Nestlé,all
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,Nestlé,all
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,American Licorice,red
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,Ferrara,all
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,Topps,all
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,Oak Leaf,all
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,Ferrara,red
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,Tootsie Roll,red
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,Haribo,red
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,Tootsie Roll,yellow
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,Mondelez,red
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,Tootsie Roll,yellow
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,Quality Candy,brown
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,Ferrara,all
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,Ferrara,blue
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,Mondelez,red
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,Ferrara,red
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,Tootsie Roll,all
